Seq,Authors,Author Gender,Author Birth Country,Author Birth Continent
133,Arkady Martine,Female,United States,North America
132,Raymond E. Feist,Male,United States,North America
131,Amal El-Mohtar,Female,Canada,North America
131,Max Gladstone,Male,United States,North America
130,Kameron Hurley,Female,United States,North America
129,Tamsyn Muir,Female,New Zealand,Oceana
128,Julie E. Czerneda,Female,Canada,North America
127,Terry Pratchett,Male,United Kingdom,Europe
126,Joan D. Vinge,Female,United States,North America
125,Sam Sykes,Male,United States,North America
124,Rebecca Roanhorse,Female,United States,North America
123,R.F.Kuang,Female,China,Asia
122,Lisa A. Nichols,Female,United States,North America
121,Peter S. Beagle,Male,United States,North America
120,Ray Bradbury,Male,United States,North America
119,Michael J. Sullivan,Male,United States,North America
118,J.K.Rowling,Female,United Kingdom,Europe
117,Mary Robinette Kowal,Female,United States,North America
116,Yoon Ha Lee,Male,United States,North America
115,John Crowley,Male,United States,North America
114,Chuck Wendig,Male,United States,North America
113,Matt Ruff,Male,United States,North America
112,A.E. van Vogt,Male,Canada,North America
111,Fonda Lee,Female,Canada,North America
110,Philip Reeve,Male,United Kingdom,Europe
109,Madeline Miller,Female,United States,North America
108,Tanith Lee,Female,United Kingdom,Europe
107a,Gail Carriger,Female,United States,North America
107,Dennis E. Taylor,Male,Canada,North America
106,Rivers Solomon,Non-binary,United States,North America
105,Madeleine L'Engle,Female,United States,North America
104,Mary Wollstonecraft Shelley,Female,United Kingdom,Europe
103,Greg van Eekhout,Male,United States,North America
102,Connie Willis,Female,United States,North America
101,Theodora Goss,Female,Hungary,Europe
100,Brian Aldiss,Male,United Kingdom,Europe
99,Stephen King,Male,United States,North America
98,Ursula K. Le Guin,Female,United States,North America
97,Alex Bledsoe,Male,United States,North America
96,Becky Chambers,Female,United States,North America
95,Genevieve Cogman,Female,United Kingdom,Europe
94,Frederik Pohl,Male,United States,North America
93,Nalo Hopkinson,Female,Jamaica,North America
92,Liu Cixin,Male,China,Asia
91,Daniel O'Malley,Male,Australia,Oceana
90,David Wong,Male,United States,North America
89,Helene Wecker,Female,United States,North America
88,Vernor Vinge,Male,United States,North America
87,Andrzej Sapkowski,Male,Poland,Europe
86,Andre Norton,Female,United States,North America
85,Fran Wilde,Female,United States,North America
84,Kim Stanley Robinson,Male,United States,North America
83,V.E.Schwab,Female,United States,North America
83a,N.K.Jemisin,Female,United States,North America
82,Charlie Jane Anders,Female,United States,North America
81,Terry Brooks,Male,United States,North America
80,Catherynne M.Valente,Female,United States,North America
79,Mercedes Lackey,Female,United States,North America
78,Jack Finney,Male,United States,North America
77,Seth Dickinson,Male,United States,North America
76,Walter M. Miller Jr,Male,United States,North America
75,Naomi Novik,Female,United States,North America
74,Emily St. John Mandel,Female,Canada,North America
73,Robert Jackson Bennett,Male,United States,North America
72,Leigh Brackett,Female,United States,North America
71,Terry Pratchett,Male,United Kingdom,Europe
70,Katherine Addison,Female,United States,North America
69,Jeff VanderMeer,Male,United States,North America
68,Mary Doria Russell,Female,United States,North America
67,Erin Morgenstern,Female,United States,North America
66,Philip K. Dick,Male,United States,North America
65,G. Willow Wilson,Female,United States,North America
64,Ted Chiang,Male,United States,North America
63,Patrick Rothfuss,Male,United States,North America
62,Octavia E. Butler,Female,United States,North America
61,Brian McClellan,Male,United States,North America
60,Andy Weir,Male,United States,North America
59,David Dalglish,Male,United States,North America
59a,Bryan Alexander Benson,Male,United States,North America
58,Richard K. Morgan,Male,United Kingdom,Europe
57,Ursula K. Le Guin,Female,United States,North America
56,Samuel R. Delaney,Male,United States,North America
55a,Naomi Novik,Female,United States,North America
55,Marie Brennan,Female,United States,North America
54,Ann Leckie,Female,United States,North America
53,Cherie Priest,Female,United States,North America
52,Alfred Bester,Male,United States,North America
51,Lois McMaster Bujold,Female,United States,North America
50,Larry Niven,Male,United States,North America
49a,John Scalzi,Male,United States,North America
49,Jo Walton,Female,United Kingdom,Europe
48,Hugh Howey,Male,United States,North America
47,Anne McCaffrey,Female,United States,North America
46,C.J. Cherryh,Female,United States,North America
45,Barry Hughart,Male,United States,North America
44,John Scalzi,Male,United States,North America
43,J.R.R.Tolkien,Male,South Africa,Africa
42,Tad Williams,Male,United States,North America
41,David Mitchell,Male,United Kingdom,Europe
40,Isaac Asimov,Male,Russia,Asia
39,Robin Hobb,Female,United States,North America
38,Daniel Abraham,Male,United States,North America
38,Ty Franck,Male,United States,North America
37,Guy Gavriel Kay,Male,Canada,North America
36,Dan Simmons,Male,United States,North America
35,Lev Grossman,Male,United States,North America
34,Scott Lynch,Male,United States,North America
33a,Adam Christopher,Male,New Zealand,Oceana
33,Charles Stross,Male,United Kingdom,Europe
32a,Haruki Murakami,Male,Japan,Asia
32,Brandon Sanderson,Male,United States,North America
31a,Neal Stephenson,Male,United States,North America
31,Ernest Cline,Male,United States,North America
30,Robert J. Sawyer,Male,Canada,North America
29a,John Scalzi,Male,United States,North America
29,George R. R. Martin,Male,United States,North America
28,Suzanne Collins,Female,United States,North America
27,N. K. Jemisin,Female,United States,North America
26,Peter Watts,Male,Canada,North America
25,Gene Wolfe,Male,United States,North America
24,Neil Gaiman,Male,United Kingdom,Europe
24,Terry Pratchett,Male,United Kingdom,Europe
23,Charles Yu,Male,United States,North America
22,William Goldman,Male,United States,North America
21,T. H. White,Male,India,Asia
20,Robert A. Heinlein,Male,United States,North America
19a,Joe Abercrombie,Male,United Kingdom,Europe
19,Max Brooks,Male,United States,North America
18,Ian Tregillis,Male,United States,North America
17,Paolo Bacigalupi,Male,United States,North America
16,Cory Doctorow,Male,Canada,North America
15,Marion Zimmer Bradley,Female,United States,North America
14,Joe Haldeman,Male,United States,North America
13,George R. R. Martin,Male,United States,North America
12,Daniel Suarez,Male,United States,North America
11,Frank Herbert,Male,United States,North America
10,Robert Jordan,Male,United States,North America
9,Stanislaw Lem,Male,Poland,Europe
8,Neal Stephenson,Male,United States,North America
7,Richard Adams,Male,United Kingdom,Europe
6,Mark Del Franco,Male,United States,North America
5,Arthur C. Clarke,Male,United Kingdom,Europe
4,William Gibson,Male,United States,North America
3,Neil Gaiman,Male,United Kingdom,Europe
2,Orson Scott Card,Male,United States,North America
1,Philip Pullman,Male,United Kingdom,Europe