url,Title,Title_link,US Publisher,Month Read,Month Read,Year Read,Seq,_url_input,Month Published,Year Published,Picked By,Rating,Ratings,Reviews,Pages,Series,
https://swordandlaser.fandom.com/wiki/Book_List,A Memory Called Empire,https://swordandlaser.fandom.com/wiki/A_Memory_Called_Empire,Tor Books,Jun '20,Jun,2020,133,https://swordandlaser.fandom.com/wiki/Book_List,Mar,2019,Tom,4.17,8235,1502,462,Teixcalaan #1,
https://swordandlaser.fandom.com/wiki/Book_List,Magician: Apprentice,https://swordandlaser.fandom.com/wiki/Magician:_Apprentice,Bantam,43971,May,2020,132,https://swordandlaser.fandom.com/wiki/Book_List,Oct,1982,Viewer,4.17,79386,1774,485,"The Riftwar Saga #1, Riftwar Cycle #1, Kriget om Rämnan #1                  ,                      more",
https://swordandlaser.fandom.com/wiki/Book_List,This is How You Lose the Time War,https://swordandlaser.fandom.com/wiki/This_is_How_You_Lose_the_Time_War,Saga Press,43941,Apr,2020,131,https://swordandlaser.fandom.com/wiki/Book_List,July,2019,March Madness,3.98,21406,5023,209,,
https://swordandlaser.fandom.com/wiki/Book_List,The Light Brigade,https://swordandlaser.fandom.com/wiki/The_Light_Brigade,Saga Press,43910,Mar,2020,130,https://swordandlaser.fandom.com/wiki/Book_List,Mar,2019,Tom,3.97,4663,881,356,,
https://swordandlaser.fandom.com/wiki/Book_List,Gideon the Ninth,https://swordandlaser.fandom.com/wiki/Gideon_the_Ninth,Tor,43881,Feb,2020,129,https://swordandlaser.fandom.com/wiki/Book_List,Sep,2019,Veronica,4.24,17285,4024,448,The Locked Tomb #1,
https://swordandlaser.fandom.com/wiki/Book_List,In the Company of Others,https://swordandlaser.fandom.com/wiki/In_the_Company_of_Others,DAW,43850,Jan,2020,128,https://swordandlaser.fandom.com/wiki/Book_List,Jun,2001,Tom,3.89,1259,79,565,,
https://swordandlaser.fandom.com/wiki/Book_List,Hogfather,https://swordandlaser.fandom.com/wiki/Hogfather,Harper,44184,Dec,2019,127,https://swordandlaser.fandom.com/wiki/Book_List,Oct,2006,Veronica,4.23,73217,2325,432,"Discworld #20, Discworld - Death #04",
https://swordandlaser.fandom.com/wiki/Book_List,The Snow Queen,https://swordandlaser.fandom.com/wiki/The_Snow_Queen,Tor,44154,Nov,2019,126,https://swordandlaser.fandom.com/wiki/Book_List,Apr,1980,Tom,3.95,11674,500,448,The Snow Queen Cycle #1,
https://swordandlaser.fandom.com/wiki/Book_List,Seven Blades in Black,https://swordandlaser.fandom.com/wiki/Seven_Blades_in_Black,Orbit,44123,Oct,2019,125,https://swordandlaser.fandom.com/wiki/Book_List,Apr,2019,Veronica,4.11,2727,552,704,The Grave of Empires #1,
https://swordandlaser.fandom.com/wiki/Book_List,Trail of Lightning,https://swordandlaser.fandom.com/wiki/Trail_of_Lightning,Saga Press,44093,Sep,2019,124,https://swordandlaser.fandom.com/wiki/Book_List,June,2018,Tom,3.98,14630,3017,287,The Sixth World #1,
https://swordandlaser.fandom.com/wiki/Book_List,The Poppy War,https://swordandlaser.fandom.com/wiki/The_Poppy_War,Harper Voyager,44062,Aug,2019,123,https://swordandlaser.fandom.com/wiki/Book_List,May,2018,Veronica,3.98,34310,6539,644,The Poppy War #1,
https://swordandlaser.fandom.com/wiki/Book_List,Vessel,https://swordandlaser.fandom.com/wiki/Vessel,Atria,44031,Jul,2019,122,https://swordandlaser.fandom.com/wiki/Book_List,May,2019,Guest,3.47,1236,267,294,,
https://swordandlaser.fandom.com/wiki/Book_List,The Last Unicorn,https://swordandlaser.fandom.com/wiki/The_Last_Unicorn,Penguin Roc,44001,Jun,2019,121,https://swordandlaser.fandom.com/wiki/Book_List,,1968,Veronica,4.17,92742,4359,294,The Last Unicorn #1,
https://swordandlaser.fandom.com/wiki/Book_List,The Martian Chronicles,https://swordandlaser.fandom.com/wiki/The_Martian_Chronicles,Doubleday,43970,May,2019,120,https://swordandlaser.fandom.com/wiki/Book_List,,1949,Tom,4.14,201653,7434,182,,
https://swordandlaser.fandom.com/wiki/Book_List,Theft of Swords,https://swordandlaser.fandom.com/wiki/Theft_of_Swords,Orbit,43940,Apr,2019,119,https://swordandlaser.fandom.com/wiki/Book_List,Nov,2011,March Madness,4.22,52209,3630,649,"The Riyria Revelations #1-2, Riyria #5-6",
https://swordandlaser.fandom.com/wiki/Book_List,Harry Potter and the Philosopher's Stone,https://swordandlaser.fandom.com/wiki/Harry_Potter_and_the_Philosopher%27s_Stone,Scholastic,43909,Mar,2019,118,https://swordandlaser.fandom.com/wiki/Book_List,Jun,1997,Tom,4.47,6695952,106480,345,Harry Potter #1,
https://swordandlaser.fandom.com/wiki/Book_List,The Calculating Stars,https://swordandlaser.fandom.com/wiki/The_Calculating_Stars,Tor Books,43880,Feb,2019,117,https://swordandlaser.fandom.com/wiki/Book_List,Jul,2018,Veronica,4.02,16361,2869,431,Lady Astronaut #1,
https://swordandlaser.fandom.com/wiki/Book_List,Ninefox Gambit,https://swordandlaser.fandom.com/wiki/Ninefox_Gambit,Solaris Books,43849,Jan,2019,116,https://swordandlaser.fandom.com/wiki/Book_List,Jun,2016,Poll,3.82,12950,2112,384,The Machineries of Empire #1,
https://swordandlaser.fandom.com/wiki/Book_List,Ka: Dar Oakley in the Ruin of Ymr,https://swordandlaser.fandom.com/wiki/Ka:_Dar_Oakley_in_the_Ruin_of_Ymr,Saga Press,44183,Dec,2018,115,https://swordandlaser.fandom.com/wiki/Book_List,Oct,2017,Veronica,3.79,1063,244,442,,
https://swordandlaser.fandom.com/wiki/Book_List,Zeroes,https://swordandlaser.fandom.com/wiki/Zeroes,Harper Voyager,44153,Nov,2018,114,https://swordandlaser.fandom.com/wiki/Book_List,Aug,2015,Tom,3.62,4513,665,432,Zer0es #1,
https://swordandlaser.fandom.com/wiki/Book_List,Lovecraft Country,https://swordandlaser.fandom.com/wiki/Lovecraft_Country,Harper,44122,Oct,2018,113,https://swordandlaser.fandom.com/wiki/Book_List,Feb,2016,Veronica,4.05,14304,1987,400,,
https://swordandlaser.fandom.com/wiki/Book_List,Slan,https://swordandlaser.fandom.com/wiki/Slan,Orb Books,44092,Sep,2018,112,https://swordandlaser.fandom.com/wiki/Book_List,Sep,1940,Tom,3.69,4272,345,272,Slan #1,
https://swordandlaser.fandom.com/wiki/Book_List,Jade City,https://swordandlaser.fandom.com/wiki/Jade_City,Orbit,44061,Aug,2018,111,https://swordandlaser.fandom.com/wiki/Book_List,Nov,2017,Veronica,4.02,"6,625",1487,498,The Green Bone Saga #1,
https://swordandlaser.fandom.com/wiki/Book_List,Mortal Engines,https://swordandlaser.fandom.com/wiki/Mortal_Engines,Harper Collins,44030,Jul,2018,110,https://swordandlaser.fandom.com/wiki/Book_List,Nov,2011,Tom,3.78,46647,4927,326,Mortal Engines Quartet #1,
https://swordandlaser.fandom.com/wiki/Book_List,Circe,https://swordandlaser.fandom.com/wiki/Circe,Lee Boudreaux Books,44000,Jun,2018,109,https://swordandlaser.fandom.com/wiki/Book_List,Apr,2018,Poll,4.27,273422,32543,393,,
https://swordandlaser.fandom.com/wiki/Book_List,Night's Master,https://swordandlaser.fandom.com/wiki/Night%27s_Master,DAW Books,43969,May,2018,108,https://swordandlaser.fandom.com/wiki/Book_List,Jan,1978,Veronica,4.03,2148,222,208,Tales from the Flat Earth #1,
https://swordandlaser.fandom.com/wiki/Book_List,Soulless,https://swordandlaser.fandom.com/wiki/Soulless,Orbit,43939,Apr,2018,107a,https://swordandlaser.fandom.com/wiki/Book_List,Oct,2009,March Madness,3.91,92893,9983,357,Parasol Protectorate #1,
https://swordandlaser.fandom.com/wiki/Book_List,We are Legion We are Bob,https://swordandlaser.fandom.com/wiki/We_are_Legion_We_are_Bob,Worldbuilders Press,43939,Apr,2018,107,https://swordandlaser.fandom.com/wiki/Book_List,Sep,2016,March Madness,4.29,48915,4143,383,Bobiverse #1,
https://swordandlaser.fandom.com/wiki/Book_List,An Unkindness of Ghosts,https://swordandlaser.fandom.com/wiki/An_Unkindness_of_Ghosts,Akashic Books,43908,Mar,2018,106,https://swordandlaser.fandom.com/wiki/Book_List,Oct,2017,Tom,4,7724,1544,351,,
https://swordandlaser.fandom.com/wiki/Book_List,A Wrinkle in Time,https://swordandlaser.fandom.com/wiki/A_Wrinkle_in_Time,"Farrar, Straus and Giroux",43879,Feb,2018,105,https://swordandlaser.fandom.com/wiki/Book_List,,1962,Veronica,4,1024883,33223,211,"Time Quintet #1, Kairos #1, Glencoe Literature Library                  ,                      more",
https://swordandlaser.fandom.com/wiki/Book_List,"Frankenstein, or the Modern Prometheus","https://swordandlaser.fandom.com/wiki/Frankenstein,_or_the_Modern_Prometheus",Public Domain,43848,Jan,2018,104,https://swordandlaser.fandom.com/wiki/Book_List,Jan,1818,Tom,3.8,1118537,31239,345,,
https://swordandlaser.fandom.com/wiki/Book_List,California Bones,https://swordandlaser.fandom.com/wiki/California_Bones,Tor Books,44182,Dec,2017,103,https://swordandlaser.fandom.com/wiki/Book_List,May,2014,Veronica,3.73,2183,398,304,Daniel Blackland #1,
https://swordandlaser.fandom.com/wiki/Book_List,Doomsday Book,https://swordandlaser.fandom.com/wiki/Doomsday_Book,Bantam Spectra,44152,Nov,2017,102,https://swordandlaser.fandom.com/wiki/Book_List,Jun,1992,Poll,4.03,46390,5033,578,Oxford Time Travel #1,
https://swordandlaser.fandom.com/wiki/Book_List,The Strange Case of the Alchemist's Daughter,https://swordandlaser.fandom.com/wiki/The_Strange_Case_of_the_Alchemist%27s_Daughter,Saga Press,44121,Oct,2017,101,https://swordandlaser.fandom.com/wiki/Book_List,Jun,2017,Veronica,3.81,13237,2319,402,The Extraordinary Adventures of the Athena Club #1,
https://swordandlaser.fandom.com/wiki/Book_List,Helliconia Spring,https://swordandlaser.fandom.com/wiki/Helliconia_Spring,iBooks,44091,Sep,2017,100,https://swordandlaser.fandom.com/wiki/Book_List,,1982,Tom & Veronica,3.61,3516,189,400,Helliconia #1,
https://swordandlaser.fandom.com/wiki/Book_List,The Gunslinger,https://swordandlaser.fandom.com/wiki/The_Gunslinger,Grant,44060,Aug,2017,99,https://swordandlaser.fandom.com/wiki/Book_List,Jun,1982,Veronica,3.95,494849,18370,231,The Dark Tower #1,
https://swordandlaser.fandom.com/wiki/Book_List,The Left Hand of Darkness,https://swordandlaser.fandom.com/wiki/The_Left_Hand_of_Darkness,Ace Books,44029,Jul,2017,98,https://swordandlaser.fandom.com/wiki/Book_List,,1969,Poll,4.07,112947,8541,304,Hainish Cycle #4,
https://swordandlaser.fandom.com/wiki/Book_List,The Hum and the Shiver,https://swordandlaser.fandom.com/wiki/The_Hum_and_the_Shiver,Tor Books,43999,Jun,2017,97,https://swordandlaser.fandom.com/wiki/Book_List,Sep,2011,Tom & Veronica,3.82,3947,734,349,Tufa #1,
https://swordandlaser.fandom.com/wiki/Book_List,"The Long Way to a Small, Angry Planet","https://swordandlaser.fandom.com/wiki/The_Long_Way_to_a_Small,_Angry_Planet",Harper Voyager,43968,May,2017,96,https://swordandlaser.fandom.com/wiki/Book_List,Jul,2014,Tom,4.16,65584,10908,518,Wayfarers #1,
https://swordandlaser.fandom.com/wiki/Book_List,The Invisible Library,https://swordandlaser.fandom.com/wiki/The_Invisible_Library,Ace Books,Apr '17,Apr,2017,95,https://swordandlaser.fandom.com/wiki/Book_List,Jan,2015,March Madness,3.73,36331,5051,329,The Invisible Library #1,
https://swordandlaser.fandom.com/wiki/Book_List,Gateway,https://swordandlaser.fandom.com/wiki/Gateway,St. Martin's Press,Mar '17,Mar,2017,94,https://swordandlaser.fandom.com/wiki/Book_List,,1977,Tom,4.07,38207,1499,278,Heechee Saga #1,
https://swordandlaser.fandom.com/wiki/Book_List,The Salt Roads,https://swordandlaser.fandom.com/wiki/The_Salt_Roads,Grand Central Publishing,Feb '17,Feb,2017,93,https://swordandlaser.fandom.com/wiki/Book_List,Nov,2004,Veronica,3.83,1757,251,416,,
https://swordandlaser.fandom.com/wiki/Book_List,The Three-Body Problem,https://swordandlaser.fandom.com/wiki/The_Three-Body_Problem,Tor Books,Jan '17,Jan,2017,92,https://swordandlaser.fandom.com/wiki/Book_List,May,2006,Tom,4.06,128468,13425,399,"Remembrance of Earth's Past #1, Muistoja planeetta Maasta #1",
https://swordandlaser.fandom.com/wiki/Book_List,The Rook,https://swordandlaser.fandom.com/wiki/The_Rook,"Little, Brown and Company",Dec '16,Dec,2016,91,https://swordandlaser.fandom.com/wiki/Book_List,Jan,2012,Veronica,4.12,46332,6537,496,The Checquy Files #1,
https://swordandlaser.fandom.com/wiki/Book_List,Futuristic Violence and Fancy Suits,https://swordandlaser.fandom.com/wiki/Futuristic_Violence_and_Fancy_Suits,Thomas Dunne Books,Nov '16,Nov,2016,90,https://swordandlaser.fandom.com/wiki/Book_List,Oct,2015,Poll,3.99,12542,1356,384,Zoey Ashe #1,
https://swordandlaser.fandom.com/wiki/Book_List,The Golem and the Jinni,https://swordandlaser.fandom.com/wiki/The_Golem_and_the_Jinni,Harper,Oct '16,Oct,2016,89,https://swordandlaser.fandom.com/wiki/Book_List,Apr,2013,Veronica,4.11,94048,12390,486,The Golem and the Jinni #1,
https://swordandlaser.fandom.com/wiki/Book_List,A Fire Upon The Deep,https://swordandlaser.fandom.com/wiki/A_Fire_Upon_The_Deep,Tor Books,Sep '16,Sep,2016,88,https://swordandlaser.fandom.com/wiki/Book_List,Aug,2010,Tom,4.14,49869,2338,613,Zones of Thought #1,
https://swordandlaser.fandom.com/wiki/Book_List,The Last Wish,https://swordandlaser.fandom.com/wiki/The_Last_Wish,Gollancz,Aug '16,Aug,2016,87,https://swordandlaser.fandom.com/wiki/Book_List,Jan,1993,Veronica,4.16,160959,11330,384,The Witcher #0.5,
https://swordandlaser.fandom.com/wiki/Book_List,The Time Traders,https://swordandlaser.fandom.com/wiki/The_Time_Traders,World Publishing Co.,Jul '16,Jul,2016,86,https://swordandlaser.fandom.com/wiki/Book_List,Jan,1958,Tom,3.75,4313,290,7,Time Traders/Ross Murdock #1,
https://swordandlaser.fandom.com/wiki/Book_List,Updraft,https://swordandlaser.fandom.com/wiki/Updraft,Tor Books,Jun '16,Jun,2016,85,https://swordandlaser.fandom.com/wiki/Book_List,Sep,2015,Veronica,3.59,3068,617,352,Bone Universe #1,
https://swordandlaser.fandom.com/wiki/Book_List,Aurora,https://swordandlaser.fandom.com/wiki/Aurora,Orbit,May '16,May,2016,84,https://swordandlaser.fandom.com/wiki/Book_List,Jul,2015,Poll,3.74,18431,2460,466,,
https://swordandlaser.fandom.com/wiki/Book_List,A Darker Shade of Magic,https://swordandlaser.fandom.com/wiki/A_Darker_Shade_of_Magic,Tor Books,Apr '16,Apr,2016,83,https://swordandlaser.fandom.com/wiki/Book_List,Feb,2015,March Madness,4.09,177954,24391,400,"Shades of Magic #1, The Shades of Magic Universe",
https://swordandlaser.fandom.com/wiki/Book_List,The Fifth Season,https://swordandlaser.fandom.com/wiki/The_Fifth_Season,Orbit,Apr '16,Apr,2016,83a,https://swordandlaser.fandom.com/wiki/Book_List,Aug,2015,March Madness,4.3,123788,14909,468,The Broken Earth #1,
https://swordandlaser.fandom.com/wiki/Book_List,All the Birds in the Sky,https://swordandlaser.fandom.com/wiki/All_the_Birds_in_the_Sky,Tor Books,Mar '16,Mar,2016,82,https://swordandlaser.fandom.com/wiki/Book_List,Jan,2016,Tom,3.58,35605,5913,313,All the Birds in the Sky #1,
https://swordandlaser.fandom.com/wiki/Book_List,The Sword of Shannara,https://swordandlaser.fandom.com/wiki/The_Sword_of_Shannara,Del Rey,Feb '16,Feb,2016,81,https://swordandlaser.fandom.com/wiki/Book_List,,1977,Veronica,3.76,81490,3929,726,"The Original Shannara Trilogy #1, Shannara (Chronological Order) #10, Shannara (Publication Order) #1, Shannara - Terry's Suggested Order for New Readers #1                  ,                      more",
https://swordandlaser.fandom.com/wiki/Book_List,Radiance,https://swordandlaser.fandom.com/wiki/Radiance,Tor Books,Jan '16,Jan,2016,80,https://swordandlaser.fandom.com/wiki/Book_List,Oct,2015,Tom,3.75,3799,958,432,,
https://swordandlaser.fandom.com/wiki/Book_List,Arrows of the Queen,https://swordandlaser.fandom.com/wiki/Arrows_of_the_Queen,DAW Books,Dec '15,Dec,2015,79,https://swordandlaser.fandom.com/wiki/Book_List,,1987,Veronica,4.14,32641,1036,320,"Valdemar: Heralds of Valdemar #1, Valdemar (Chronological) #25, Valdemar (Publication order) #1                  ,                      more",
https://swordandlaser.fandom.com/wiki/Book_List,Time and Again,https://swordandlaser.fandom.com/wiki/Time_and_Again,Orion Publishing,Nov '15,Nov,2015,78,https://swordandlaser.fandom.com/wiki/Book_List,,1970,Poll,3.95,18178,2189,399,Time #1,
https://swordandlaser.fandom.com/wiki/Book_List,The Traitor Baru Cormorant,https://swordandlaser.fandom.com/wiki/The_Traitor_Baru_Cormorant,Tor,Oct '15,Oct,2015,77,https://swordandlaser.fandom.com/wiki/Book_List,Sep,2015,Poll,4.07,11503,1944,399,The Masquerade #1,
https://swordandlaser.fandom.com/wiki/Book_List,A Canticle for Leibowitz,https://swordandlaser.fandom.com/wiki/A_Canticle_for_Leibowitz,HarperCollins EOS,Sep '15,Sep,2015,76,https://swordandlaser.fandom.com/wiki/Book_List,Oct,1959,Poll,3.98,87663,4587,334,St. Leibowitz #1,
https://swordandlaser.fandom.com/wiki/Book_List,Uprooted,https://swordandlaser.fandom.com/wiki/Uprooted,Del Rey,Aug '15,Aug,2015,75,https://swordandlaser.fandom.com/wiki/Book_List,May,2015,Veronica,4.09,150482,21056,435,,
https://swordandlaser.fandom.com/wiki/Book_List,Station Eleven,https://swordandlaser.fandom.com/wiki/Station_Eleven,Knopf,Jul '15,Jul,2015,74,https://swordandlaser.fandom.com/wiki/Book_List,Sep,2014,Poll,4.04,296057,36066,336,,
https://swordandlaser.fandom.com/wiki/Book_List,City of Stairs,https://swordandlaser.fandom.com/wiki/City_of_Stairs,Broadway Books,Jun '15,Jun,2015,73,https://swordandlaser.fandom.com/wiki/Book_List,Sep,2014,Veronica,4.11,25067,3039,452,The Divine Cities #1,
https://swordandlaser.fandom.com/wiki/Book_List,The Sword of Rhiannon,https://swordandlaser.fandom.com/wiki/The_Sword_of_Rhiannon,Ace Books,May '15,May,2015,72,https://swordandlaser.fandom.com/wiki/Book_List,,1949,Tom,3.48,794,130,141,,
https://swordandlaser.fandom.com/wiki/Book_List,Wyrd Sisters,https://swordandlaser.fandom.com/wiki/Wyrd_Sisters,Hartorch,Apr '15,Apr,2015,71,https://swordandlaser.fandom.com/wiki/Book_List,Nov,1988,Poll,4.13,88437,2959,265,"Discworld #6, Discworld - Witches #2, Kolekcja Świat Dysku #5                  ,                      more",
https://swordandlaser.fandom.com/wiki/Book_List,The Goblin Emperor,https://swordandlaser.fandom.com/wiki/The_Goblin_Emperor,Tor Books,Mar '15,Mar,2015,70,https://swordandlaser.fandom.com/wiki/Book_List,Apr,2014,Tom,4.04,23501,3844,446,The Goblin Emperor #1,
https://swordandlaser.fandom.com/wiki/Book_List,Annihilation,https://swordandlaser.fandom.com/wiki/Annihilation,FSG Originals,Feb '15,Feb,2015,69,https://swordandlaser.fandom.com/wiki/Book_List,Feb,2014,Veronica,3.69,145355,16846,195,Southern Reach #1,
https://swordandlaser.fandom.com/wiki/Book_List,The Sparrow,https://swordandlaser.fandom.com/wiki/The_Sparrow,Ballantine Books,Jan '15,Jan,2015,68,https://swordandlaser.fandom.com/wiki/Book_List,Sep,1997,Poll,4.16,57837,7025,516,The Sparrow #1,
https://swordandlaser.fandom.com/wiki/Book_List,The Night Circus,https://swordandlaser.fandom.com/wiki/The_Night_Circus,Doubleday,Dec '14,Dec,2014,67,https://swordandlaser.fandom.com/wiki/Book_List,Sep,2011,Veronica,4.04,645744,70224,391,,
https://swordandlaser.fandom.com/wiki/Book_List,Do Androids Dream of Electric Sheep,https://swordandlaser.fandom.com/wiki/Do_Androids_Dream_of_Electric_Sheep,Del Rey,Nov '14,Nov,2014,66,https://swordandlaser.fandom.com/wiki/Book_List,Jan,1968,Tom,4.09,326493,12561,244,Blade Runner #1,
https://swordandlaser.fandom.com/wiki/Book_List,Alif the Unseen,https://swordandlaser.fandom.com/wiki/Alif_the_Unseen,Grove Press,Oct '14,Oct,2014,65,https://swordandlaser.fandom.com/wiki/Book_List,Jun,2012,Veronica,3.84,15590,2643,433,,
https://swordandlaser.fandom.com/wiki/Book_List,Stories of Your Life and Others,https://swordandlaser.fandom.com/wiki/Stories_of_Your_Life_and_Others,Small Beer Press,Sep '14,Sep,2014,64,https://swordandlaser.fandom.com/wiki/Book_List,Jul,2002,Tom,4.26,57044,7269,281,,
https://swordandlaser.fandom.com/wiki/Book_List,The Name of the Wind,https://swordandlaser.fandom.com/wiki/The_Name_of_the_Wind,DAW (Penguin Group),Aug '14,Aug,2014,63,https://swordandlaser.fandom.com/wiki/Book_List,Mar,2007,Veronica,4.54,677485,40195,662,The Kingkiller Chronicle #1,
